DATE,CSUSHPISA,MPRIME,CPIAUCSL,CSCICP03USM665S,USALORSGPNOSTSAM,T10YIEM,PI,POPTHM,DSPIC96,SPASTT01USM657N,UNRATE
1/1/2003,128.46,4.25,182.6,99.54716212,98.34027667,1.76,9297.2,289412,10133.6,-0.368127418,5.8
2/1/2003,129.355,4.25,183.6,99.38667328,98.33299336,1.91,9302,289606,10097.6,-6.280695855,5.9
3/1/2003,130.14700000000002,4.25,183.9,99.4709825,98.37175676,1.87,9341.7,289809,10121.5,-0.293998464,5.9
4/1/2003,130.884,4.25,183.2,99.91110061,98.45763575,1.78,9369.8,290024,10181.4,5.388648636,6
5/1/2003,131.734,4.25,182.9,100.3450189,98.58851127,1.66,9431.9,290250,10261.2,5.865717568,6.1
6/1/2003,132.649,4.22,183.1,100.5033267,98.75689224,1.61,9475.2,290484,10291.2,5.93097822,6.3
7/1/2003,133.77700000000002,4,183.7,100.5056482,98.94437555,1.87,9512.4,290726,10415.5,-0.284593107,6.2
8/1/2003,134.968,4,184.5,100.4149819,99.12898022,2.13,9560.2,290974,10487.7,0.239783602,6.1
9/1/2003,136.29399999999998,4,185.1,100.3790558,99.29106034,2.08,9604.3,291222,10369.1,2.930367488,6.1
10/1/2003,137.532,4,184.9,100.5294246,99.4193934,2.21,9642.4,291463,10408.4,2.610886061,6
11/1/2003,138.793,4,185,100.8258275,99.50900601,2.34,9710.1,291677,10470.9,1.679393457,5.8
12/1/2003,140.179,4,185.5,101.1333069,99.56132659,2.29,9734.9,291868,10479,4.253192689,5.7
1/1/2004,141.64600000000002,4,186.3,101.4167003,99.58702859,2.26,9753.2,292046,10472.7,5.049221467,5.7
2/1/2004,143.191,4,186.7,101.3014577,99.59996231,2.32,9786.7,292230,10491.3,1.509800755,5.6
3/1/2004,145.059,4,187.1,101.1312285,99.61299548,2.36,9837.2,292434,10533.6,-1.322701294,5.8
4/1/2004,146.592,4,187.4,100.9576385,99.63480646,2.45,9887.5,292651,10569.6,0.433780752,5.6
5/1/2004,148.185,4,188.2,100.8781413,99.67095061,2.63,9972.9,292872,10623.3,-3.429210073,5.6
6/1/2004,149.85,4.01,188.9,101.0180399,99.72431905,2.58,10013,293103,10631.8,2.691619504,5.6
7/1/2004,151.338,4.25,189.1,101.1310626,99.79459188,2.48,10060,293350,10658.1,-1.535015049,5.5
8/1/2004,152.634,4.43,189.2,101.1060077,99.87990406,2.42,10107.8,293603,10693.5,-1.475197543,5.4
9/1/2004,154.179,4.58,189.8,100.9854251,99.97732618,2.33,10142.9,293857,10701.4,3.103813576,5.4
10/1/2004,155.75,4.75,190.8,100.8948864,100.0823026,2.37,10194.7,294104,10707.4,0.903357399,5.5
11/1/2004,157.52700000000002,4.93,191.7,100.9600261,100.1890898,2.51,10210.6,294337,10677.3,4.965063745,5.4
12/1/2004,159.33,5.15,191.7,101.0977542,100.2907062,2.56,10564.5,294561,11072.9,2.887566254,5.4
1/1/2005,161.28799999999998,5.25,191.6,101.0828195,100.3788171,2.5,10296.1,294768,10670.3,-1.125860752,5.3
2/1/2005,163.344,5.49,192.4,100.924923,100.4460991,2.54,10335.8,294955,10677.1,2.648041954,5.4
3/1/2005,165.812,5.58,193.1,100.6920833,100.4896599,2.71,10403.5,295149,10717.4,0.34455293,5.2
4/1/2005,167.50099999999998,5.75,193.7,100.5009112,100.5160331,2.63,10468.7,295359,10751.9,-2.62975074,5.2
5/1/2005,169.35,5.98,193.6,100.5698531,100.5354101,2.49,10522.6,295582,10799.8,0.285109996,5.1
6/1/2005,171.19,6.01,193.7,100.8236844,100.5572384,2.33,10559.1,295824,10824.4,1.983756331,5
7/1/2005,172.859,6.25,194.9,100.7287833,100.586485,2.3,10622.7,296077,10839,1.981361964,5
8/1/2005,174.44299999999998,6.44,196.1,100.1288463,100.6260726,2.37,10684.7,296338,10856.6,1.361889578,4.9
9/1/2005,176.437,6.59,198.8,99.39965431,100.6789374,2.5,10750.8,296606,10815.7,1.324748461,5
10/1/2005,178.02700000000002,6.75,199.1,99.16300452,100.7495084,2.52,10825.6,296857,10870.2,-2.754264672,5
11/1/2005,179.68,7,198.1,99.5551917,100.8400578,2.48,10873.6,297089,10937.8,2.979426927,5
12/1/2005,180.91,7.15,198.1,100.1403857,100.9459499,2.35,10915.9,297311,10976.2,2.591891646,4.9
1/1/2006,182.32,7.26,199.3,100.4044492,101.0496093,2.41,11110.9,297526,11096.7,2.656966691,4.7
2/1/2006,183.287,7.5,199.4,100.3550752,101.1297157,2.52,11180.6,297734,11151.4,0.632137337,4.8
3/1/2006,184.364,7.53,199.7,100.2218039,101.1707766,2.52,11251.7,297950,11195.7,1.579549733,4.7
4/1/2006,184.329,7.75,200.7,99.96661019,101.1745798,2.58,11307.8,298170,11190.3,2.089220659,4.7
5/1/2006,184.15599999999998,7.93,201.3,99.68058182,101.1521419,2.66,11329.1,298401,11182.7,0.041221696,4.6
6/1/2006,183.507,8.02,201.8,99.6595173,101.1185107,2.58,11372,298653,11198.2,-4.34769589,4.6
7/1/2006,183.067,8.25,202.9,99.696192,101.0896967,2.58,11404.2,298910,11196.3,1.564442953,4.7
8/1/2006,182.59599999999998,8.25,203.8,99.79585902,101.0787336,2.59,11431.6,299178,11189.6,2.273097163,4.7
9/1/2006,182.798,8.25,202.8,100.1156284,101.091674,2.4,11471.2,299452,11252.3,1.095856721,4.5
10/1/2006,183.19799999999998,8.25,201.9,100.541528,101.1225549,2.32,11507.6,299710,11306,3.16285426,4.4
11/1/2006,183.609,8.25,202,100.7758175,101.1611869,2.31,11570.5,299950,11353.1,2.421682555,4.5
12/1/2006,184.138,8.25,203.1,100.8928783,101.199867,2.31,11679.2,300178,11406.8,2.570168083,4.4
1/1/2007,184.516,8.25,203.437,100.925328,101.239771,2.32,11737.9,300398,11403.7,0.492394567,4.6
2/1/2007,184.59799999999998,8.25,204.226,100.6990681,101.286349,2.36,11824.1,300608,11439.6,2.37994348,4.5
3/1/2007,184.149,8.25,205.288,100.4234319,101.3448757,2.38,11910.2,300823,11475,-2.457448117,4.4
4/1/2007,183.01,8.25,205.904,100.2469543,101.4157611,2.43,11955.5,301045,11490.1,4.706394447,4.5
5/1/2007,181.6,8.25,206.755,100.1857895,101.4963949,2.38,11995.3,301278,11495.5,2.8846617,4.4
6/1/2007,180.25400000000002,8.25,207.234,100.1445396,101.5823295,2.41,12015.3,301528,11488.4,0.729545154,4.6
7/1/2007,179.111,8.25,207.603,100.1210955,101.6679912,2.36,12041.5,301790,11500.4,0.915329727,4.7
8/1/2007,178.11700000000002,8.25,207.667,99.88869586,101.7465691,2.23,12050.3,302064,11506.2,-5.47810929,4.6
9/1/2007,177.558,8.03,208.547,99.62999611,101.8101479,2.26,12115.9,302334,11527.1,3.475579528,4.7
10/1/2007,176.62400000000002,7.74,209.19,99.33135519,101.8505701,2.33,12142.4,302590,11523.6,4.000286634,4.7
11/1/2007,175.14700000000002,7.5,210.834,99.04153538,101.8618211,2.38,12197.5,302834,11512.3,-4.266427281,4.7
12/1/2007,174.342,7.33,211.445,98.87101712,101.8442742,2.31,12270.4,303062,11552.1,0.870049805,5
1/1/2008,173.132,6.98,212.174,98.70711289,101.8111923,2.27,12302.1,303280,11553.4,-6.487844656,5
2/1/2008,171.54,6,212.687,98.31264723,101.7763175,2.33,12329.8,303494,11547.6,-1.480922737,4.9
3/1/2008,170.053,5.66,213.448,97.83707911,101.7427774,2.42,12374,303707,11545.3,-2.92913926,5.1
4/1/2008,168.338,5.24,213.942,97.30101652,101.6923244,2.32,12360.2,303926,11500.7,4.567095348,5
5/1/2008,166.65900000000002,5,215.208,96.91613505,101.5950994,2.42,12934.6,304157,12060.9,2.722773896,5.4
6/1/2008,165.017,5,217.463,96.79510061,101.4207955,2.47,12713.5,304396,11755.3,-4.530188701,5.6
7/1/2008,163.566,5,219.016,97.00120576,101.1532963,2.44,12564,304646,11574,-6.304789279,5.8
8/1/2008,161.988,5,218.69,97.26232075,100.7880626,2.21,12472.5,304903,11506.9,-0.801093273,6.1
9/1/2008,160.308,5,218.877,97.33949437,100.3361325,1.84,12489.4,305158,11531.5,-5.421778958,6.1
10/1/2008,158.326,4.56,216.995,96.98135366,99.83484789,1.06,12489.4,305403,11616.7,-22.48666678,6.5
11/1/2008,156.141,4,213.153,96.72096232,99.33067948,0.64,12427.1,305620,11713.8,-9.81617809,6.8
12/1/2008,153.618,3.61,211.398,96.71338517,98.86605595,0.25,12274.1,305827,11655.4,-0.083022526,7.3
1/1/2009,151.506,3.25,211.933,96.72069962,98.46694604,0.61,12155.6,306035,11718,-0.692248232,7.8
2/1/2009,150.014,3.25,212.705,96.69427867,98.14936818,1.12,12031.7,306237,11598.7,-7.776455169,8.3
3/1/2009,148.66,3.25,212.495,96.89918003,97.92108415,1.11,11983.8,306438,11593.4,-6.314647206,8.7
4/1/2009,147.94799999999998,3.25,212.709,97.353888,97.77735054,1.36,12022.2,306645,11660.2,12.66741495,9
5/1/2009,147.695,3.25,213.022,97.7451425,97.71023226,1.57,12188.9,306863,11826.7,9.014404171,9.4
6/1/2009,148.09,3.25,214.79,97.90712839,97.71165903,1.86,12050.9,307090,11610.9,2.819548226,9.5
7/1/2009,148.409,3.25,214.726,97.86125034,97.77089779,1.74,12007.4,307322,11560.4,0.500865405,9.5
8/1/2009,148.27700000000002,3.25,215.445,97.90558088,97.87756889,1.82,12021,307570,11538.6,9.335031136,9.6
9/1/2009,148.024,3.25,215.861,98.08603247,98.02041511,1.76,12071.4,307826,11573.1,3.85393132,9.8
10/1/2009,147.849,3.25,216.509,98.11610778,98.18254266,1.91,12080.2,308071,11538.1,2.279281943,10
11/1/2009,148.134,3.25,217.234,98.1303454,98.34801889,2.12,12143.6,308289,11571,1.43579981,9.9
12/1/2009,147.929,3.25,217.347,98.30702623,98.50700063,2.23,12208.3,308495,11630,1.194638941,9.9
1/1/2010,147.395,3.25,217.488,98.47079865,98.66052224,2.36,12296.6,308706,11644.6,1.21776744,9.8
2/1/2010,145.631,3.25,217.281,98.52662271,98.81444641,2.27,12301.4,308904,11655.6,-4.194719404,9.8
3/1/2010,145.859,3.25,217.353,98.52348552,98.97360354,2.22,12365.6,309095,11702.1,5.689967315,9.9
4/1/2010,146.404,3.25,217.403,98.50279287,99.13569913,2.35,12473.3,309289,11799.8,3.462787046,9.9
5/1/2010,146.394,3.25,217.29,98.50150639,99.29412344,2.11,12575.2,309485,11887.9,-7.952006544,9.6
6/1/2010,145.72,3.25,217.199,98.40521368,99.44039261,1.94,12585.4,309691,11895,-3.313299056,9.4
7/1/2010,144.99,3.25,217.605,98.11703731,99.5666976,1.77,12629.5,309913,11910.8,0.437220642,9.4
8/1/2010,143.915,3.25,217.923,97.94128051,99.6654105,1.68,12697.4,310146,11949.7,1.838219068,9.5
9/1/2010,143.018,3.25,218.275,97.88981424,99.72985236,1.74,12719.1,310385,11949.4,3.217721303,9.5
10/1/2010,142.531,3.25,219.035,97.98953736,99.75686934,2.01,12768,310612,11950.4,4.71824471,9.4
11/1/2010,142.172,3.25,219.59,98.25003168,99.74665083,2.09,12808.4,310820,11960.5,1.669573585,9.8
12/1/2010,142.061,3.25,220.472,98.50397356,99.70504082,2.25,12914.3,311020,12030.1,3.078452019,9.3
1/1/2011,141.52200000000002,3.25,221.187,98.61358828,99.64831503,2.33,13120,311204,12084.4,3.264658058,9.1
2/1/2011,140.351,3.25,221.898,98.56392628,99.59461086,2.34,13193.3,311373,12117,3.356328823,9
3/1/2011,139.982,3.25,223.046,98.31732938,99.55633025,2.45,13214.3,311551,12083.3,-1.125939627,9
4/1/2011,140.01,3.25,224.093,98.25820307,99.53221613,2.6,13247.4,311740,12061.3,2.379761154,9.1
5/1/2011,139.905,3.25,224.806,98.24230937,99.5168165,2.39,13270.9,311935,12043.2,-0.692186928,9
6/1/2011,139.862,3.25,224.806,97.931273,99.50871763,2.24,13323.5,312147,12087.9,-3.617589795,9.1
7/1/2011,139.73,3.25,225.395,97.34726203,99.51796417,2.38,13398.4,312372,12128.6,2.278044227,9
8/1/2011,139.308,3.25,226.106,96.848779,99.55835166,2.16,13420.6,312605,12120.6,-11.46763161,9
9/1/2011,138.66899999999998,3.25,226.597,96.78077475,99.63834294,1.9,13422.3,312842,12104,-3.212859063,9
10/1/2011,137.953,3.25,226.75,97.01528815,99.74955754,1.96,13430.4,313060,12117,2.090770805,8.8
11/1/2011,137.153,3.25,227.169,97.46245286,99.87572733,2.01,13447.9,313260,12112.6,1.023287228,8.6
12/1/2011,136.675,3.25,227.223,98.01557952,99.9992111,2.01,13582.4,313454,12227.3,1.054672417,8.5
1/1/2012,136.608,3.25,227.842,98.48712843,100.1062922,2.08,13683.6,313636,12311.1,4.245273466,8.3
2/1/2012,136.533,3.25,228.329,98.75001919,100.1865883,2.22,13798.1,313811,12384.8,4.565070418,8.3
3/1/2012,137.905,3.25,228.807,98.87670695,100.2334751,2.31,13877.1,313993,12431.1,1.155014746,8.2
4/1/2012,139.155,3.25,229.187,98.91221074,100.2462598,2.26,13954.9,314176,12486.5,-1.491292731,8.2
5/1/2012,140.155,3.25,228.713,98.85518307,100.2273043,2.14,13944.6,314368,12490.2,-4.21394788,8.2
6/1/2012,141.03,3.25,228.524,98.64635226,100.1814301,2.12,13938.1,314576,12482.6,-1.953428135,8.2
7/1/2012,141.66899999999998,3.25,228.59,98.57276828,100.1174495,2.13,13859.9,314796,12396.5,2.879393706,8.2
8/1/2012,142.281,3.25,229.918,98.74627806,100.0457865,2.27,13879.8,315031,12364.4,3.071030856,8.1
9/1/2012,142.909,3.25,231.015,99.06935211,99.97728779,2.43,14028.2,315264,12453.3,3.181234374,7.8
10/1/2012,143.602,3.25,231.638,99.30103551,99.92248644,2.5,14164.6,315485,12538.2,0.241455313,7.8
11/1/2012,144.586,3.25,231.249,99.21279557,99.88922312,2.42,14346.4,315692,12702.9,-1.899595728,7.7
12/1/2012,145.503,3.25,231.221,98.87167916,99.87918721,2.48,14696.7,315877,13011.6,2.966629721,7.9
1/1/2013,146.827,3.25,231.679,98.74052571,99.88279518,2.52,13996.7,316038,12258.9,4.507631194,8
2/1/2013,147.783,3.25,232.937,98.84572556,99.8876948,2.55,14015.4,316191,12224.9,1.728826929,7.7
3/1/2013,149.963,3.25,232.282,99.01613082,99.88613202,2.55,14046.4,316357,12262.1,1.604601979,7.5
4/1/2013,151.519,3.25,231.797,99.23283106,99.88208254,2.41,14089.6,316535,12299,0.560079721,7.6
